Timestamp; Position; ID
0;(0.00000000, 0.00000000, 0.00000000);0
0.02;(0.00000000, 0.00000000, 0.00000000);1
0.04;(0.00000000, 0.00000000, 0.00000000);2
0.06;(0.00000000, 0.00000000, 0.00000000);3
0.08;(0.00000000, 0.00000000, 0.00000000);4
0.09999999;(0.00000000, 0.00000000, 0.00000000);5
0.12;(0.00000000, 0.00000000, 0.00000000);6
0.14;(-0.05170438, 1.71024500, 0.11165190);7
0.16;(-0.05170438, 1.71024500, 0.11165190);8
0.18;(-0.04968337, 1.71103600, 0.10934680);9
0.2;(-0.04920602, 1.71289100, 0.10932920);10
0.22;(-0.04870964, 1.71389000, 0.10958850);11
0.24;(-0.04787370, 1.71564000, 0.10879470);12
0.26;(-0.04789684, 1.71551700, 0.10863550);13
0.28;(-0.04746062, 1.71511600, 0.10714330);14
0.3;(-0.04747627, 1.71544600, 0.10600860);15
0.32;(-0.04710704, 1.71463100, 0.10456950);16
0.34;(-0.04674969, 1.71210600, 0.10277010);17
0.36;(-0.04673726, 1.71127400, 0.10052760);18
0.38;(-0.04662133, 1.71152300, 0.09998096);19
0.4;(-0.04635412, 1.71076300, 0.10008440);20
0.42;(-0.04618572, 1.70989000, 0.09911291);21
0.44;(-0.04607042, 1.70884000, 0.09807818);22
0.46;(-0.04603057, 1.70831800, 0.09772603);23
0.48;(-0.04589598, 1.70738500, 0.09713233);24
0.5;(-0.04564797, 1.70613400, 0.09631317);25
0.52;(-0.04549555, 1.70511900, 0.09532837);26
0.54;(-0.04521459, 1.70475900, 0.09443479);27
0.56;(-0.04509224, 1.70516100, 0.09439278);28
0.58;(-0.04483622, 1.70525000, 0.09423912);29
0.6;(-0.04484463, 1.70568300, 0.09352013);30
0.62;(-0.04473283, 1.70627600, 0.09267020);31
0.64;(-0.04467930, 1.70695200, 0.09192923);32
0.66;(-0.04477708, 1.70733700, 0.09158101);33
0.68;(-0.04489795, 1.70812300, 0.09080032);34
0.7;(-0.04505552, 1.70925600, 0.09038740);35
0.72;(-0.04478569, 1.70982300, 0.08984991);36
0.74;(-0.04475987, 1.71056700, 0.08952921);37
0.76;(-0.04487856, 1.71088300, 0.08923985);38
0.78;(-0.04487166, 1.71114800, 0.08893828);39
0.8;(-0.04457148, 1.71114400, 0.08838735);40
0.82;(-0.04499353, 1.71124500, 0.08758026);41
0.84;(-0.04527365, 1.71104800, 0.08688760);42
0.86;(-0.04558427, 1.71102700, 0.08679206);43
0.88;(-0.04579578, 1.71085000, 0.08670717);44
0.9;(-0.04640854, 1.71049400, 0.08631491);45
