Timestamp; Position; ID
0;(0.00000000, 0.00000000, 0.00000000);0
0.02;(0.00000000, 0.00000000, 0.00000000);1
0.04;(0.00000000, 0.00000000, 0.00000000);2
0.06;(0.00000000, 0.00000000, 0.00000000);3
0.08;(0.00000000, 0.00000000, 0.00000000);4
0.09999999;(0.00000000, 0.00000000, 0.00000000);5
0.12;(0.00000000, 0.00000000, 0.00000000);6
0.14;(-0.02887400, 1.26278000, 0.01335210);7
0.16;(-0.02887400, 1.26278000, 0.01335210);8
0.18;(-0.02887400, 1.26278000, 0.01335210);9
0.2;(-0.03163125, 1.27167400, 0.01781012);10
0.22;(-0.03233837, 1.27528500, 0.01925196);11
0.24;(-0.03298936, 1.27941700, 0.02079724);12
0.26;(-0.03326778, 1.28163800, 0.02160549);13
0.28;(-0.03369028, 1.28593700, 0.02310300);14
0.3;(-0.03392103, 1.29005700, 0.02454624);15
0.32;(-0.03396778, 1.29359100, 0.02576118);16
0.34;(-0.03395990, 1.29681500, 0.02681432);17
0.36;(-0.03381793, 1.29933000, 0.02760022);18
0.38;(-0.03372663, 1.30017900, 0.02793903);19
0.4;(-0.03335904, 1.30146000, 0.02843191);20
0.42;(-0.03288108, 1.30162400, 0.02884947);21
0.44;(-0.03224300, 1.30072100, 0.02933599);22
0.46;(-0.03162180, 1.29904800, 0.02986084);23
0.48;(-0.03124753, 1.29772200, 0.03010418);24
0.5;(-0.03089428, 1.29594700, 0.03028371);25
0.52;(-0.02957493, 1.29017000, 0.03072269);26
0.54;(-0.02872131, 1.28497800, 0.03118524);27
0.56;(-0.02783415, 1.27930700, 0.03170811);28
0.58;(-0.02737568, 1.27629600, 0.03208660);29
0.6;(-0.02665736, 1.27015700, 0.03295183);30
0.62;(-0.02599727, 1.26381800, 0.03396659);31
0.64;(-0.02542013, 1.25752500, 0.03499703);32
0.66;(-0.02502973, 1.25135100, 0.03597411);33
0.68;(-0.02495763, 1.24873500, 0.03638963);34
0.7;(-0.02478551, 1.24426900, 0.03747212);35
0.72;(-0.02474985, 1.24145200, 0.03863217);36
0.74;(-0.02479750, 1.24046200, 0.03925016);37
0.76;(-0.02490588, 1.23890500, 0.04082168);38
0.78;(-0.02494859, 1.23907900, 0.04141060);39
0.8;(-0.02504969, 1.24078100, 0.04241854);40
0.82;(-0.02521584, 1.24429100, 0.04355007);41
0.84;(-0.02539121, 1.24902000, 0.04456478);42
0.86;(-0.02554791, 1.25502100, 0.04564717);43
0.88;(-0.02562282, 1.25850000, 0.04623198);44
0.9;(-0.02574928, 1.26589700, 0.04772011);45
