Timestamp; Position; ID
2.28;(-0.02059151, 1.23847200, 0.03954863);114
2.3;(-0.02045594, 1.24239700, 0.04182284);115
2.32;(-0.02008775, 1.24666700, 0.04403831);116
2.34;(-0.01984714, 1.25101300, 0.04616319);117
2.36;(-0.01976376, 1.25334900, 0.04714826);118
2.38;(-0.01959996, 1.25791600, 0.04909868);119
2.4;(-0.01958845, 1.26225600, 0.05082163);120
2.42;(-0.01956603, 1.26633100, 0.05233717);121
2.44;(-0.01952480, 1.26814200, 0.05301759);122
2.46;(-0.01951677, 1.27151100, 0.05428536);123
2.48;(-0.01957536, 1.27412000, 0.05531949);124
2.5;(-0.01951842, 1.27587100, 0.05606265);125
2.52;(-0.01944274, 1.27679700, 0.05674877);126
2.54;(-0.01927170, 1.27680800, 0.05729277);127
2.56;(-0.01913595, 1.27629300, 0.05754756);128
2.58;(-0.01898342, 1.27469600, 0.05785586);129
2.6;(-0.01871803, 1.27188400, 0.05792539);130
2.62;(-0.01843559, 1.26812000, 0.05800843);131
2.64;(-0.01820168, 1.26589300, 0.05803281);132
2.66;(-0.01771869, 1.26080800, 0.05815465);133
2.68;(-0.01708343, 1.25508000, 0.05819440);134
2.7;(-0.01632068, 1.24880600, 0.05837534);135
2.72;(-0.01548244, 1.24226700, 0.05860496);136
2.74;(-0.01501946, 1.23902300, 0.05874937);137
2.76;(-0.01415391, 1.23263600, 0.05923616);138
2.78;(-0.01321558, 1.22685300, 0.05990256);139
2.8;(-0.01229278, 1.22183800, 0.06064508);140
2.82;(-0.01148989, 1.21818200, 0.06133862);141
2.84;(-0.01116198, 1.21693500, 0.06175438);142
2.86;(-0.01044242, 1.21561800, 0.06264680);143
2.88;(-0.00981471, 1.21623800, 0.06343354);144
2.9;(-0.00933306, 1.21875300, 0.06411839);145
2.92;(-0.00903985, 1.22294300, 0.06465322);146
2.94;(-0.00895532, 1.22574100, 0.06486556);147
2.96;(-0.00878244, 1.23217200, 0.06519569);148
2.98;(-0.00861840, 1.23997600, 0.06533618);149
3;(-0.00848010, 1.24847200, 0.06511317);150
3.02;(-0.00832059, 1.25749200, 0.06476575);151
3.04;(-0.00824219, 1.26210100, 0.06463781);152
3.06;(-0.00801491, 1.27124000, 0.06440216);153
3.08;(-0.00765260, 1.27966900, 0.06421520);154
3.1;(-0.00721397, 1.28711600, 0.06394455);155
3.12;(-0.00667627, 1.29330200, 0.06362146);156
3.14;(-0.00639437, 1.29571000, 0.06342070);157
3.16;(-0.00573634, 1.29952100, 0.06278392);158
3.18;(-0.00499057, 1.30160100, 0.06218044);159
3.2;(-0.00418523, 1.30195600, 0.06166820);160
3.22;(-0.00322583, 1.30053200, 0.06132135);161
3.24;(-0.00271995, 1.29895400, 0.06120648);162
3.26;(-0.00166416, 1.29489400, 0.06091378);163
3.28;(-0.00053836, 1.28868500, 0.06074842);164
3.3;(0.00096457, 1.28115000, 0.06054440);165
3.32;(0.00187840, 1.27693200, 0.06048346);166
3.34;(0.00339013, 1.26796500, 0.06043452);167
3.36;(0.00474139, 1.25788700, 0.06042852);168
3.38;(0.00589832, 1.24781200, 0.06039897);169
3.4;(0.00691456, 1.23778200, 0.06068880);170
3.42;(0.00741486, 1.23314900, 0.06083843);171
3.44;(0.00828109, 1.22449600, 0.06120846);172
3.46;(0.00908354, 1.21753500, 0.06162584);173
3.48;(0.00998333, 1.21231400, 0.06189629);174
3.5;(0.01079418, 1.21014800, 0.06199427);175
3.52;(0.01102938, 1.21006400, 0.06209390);176
3.54;(0.01159025, 1.21167900, 0.06213866);177
3.56;(0.01215396, 1.21565000, 0.06202938);178
3.58;(0.01273406, 1.22192600, 0.06184984);179
3.6;(0.01331631, 1.23013000, 0.06162343);180
3.62;(0.01345456, 1.23477800, 0.06146118);181
3.64;(0.01380752, 1.24467100, 0.06111061);182
3.66;(0.01398204, 1.25514000, 0.06070626);183
3.68;(0.01404875, 1.26544500, 0.06032181);184
3.7;(0.01400476, 1.27522400, 0.05994487);185
3.72;(0.01389951, 1.27985200, 0.05981765);186
3.74;(0.01364314, 1.28809100, 0.05959262);187
3.76;(0.01324243, 1.29486000, 0.05951248);188
3.78;(0.01290878, 1.29988200, 0.05943011);189
3.8;(0.01242407, 1.30283800, 0.05948882);190
3.82;(0.01222457, 1.30342200, 0.05952383);191
3.84;(0.01187192, 1.30344300, 0.05947444);192
3.86;(0.01154888, 1.30128900, 0.05958946);193
3.88;(0.01122475, 1.29748000, 0.05979529);194
3.9;(0.01096280, 1.29195700, 0.06001928);195
3.92;(0.01083711, 1.28855800, 0.06010790);196
3.94;(0.01079221, 1.28079600, 0.06041621);197
3.96;(0.01058950, 1.27153500, 0.06075303);198
3.98;(0.01057764, 1.26138000, 0.06102503);199
4;(0.01054492, 1.25093400, 0.06139046);200
4.02;(0.01057141, 1.24569000, 0.06148655);201
4.04;(0.01046887, 1.23549600, 0.06156595);202
4.06;(0.01037279, 1.22637200, 0.06155428);203
4.08;(0.01024047, 1.21876300, 0.06147984);204
4.1;(0.01009605, 1.21363700, 0.06153360);205
4.12;(0.01004522, 1.21202100, 0.06156743);206
4.14;(0.01006339, 1.21054000, 0.06155329);207
4.16;(0.01002273, 1.21193900, 0.06172192);208
4.18;(0.01002643, 1.21128700, 0.06183568);209
4.2;(0.01010211, 1.21900100, 0.06202808);210
4.22;(0.01007195, 1.22625400, 0.06210488);211
4.24;(0.01002379, 1.23494800, 0.06219906);212
4.26;(0.00996991, 1.24483900, 0.06213092);213
4.28;(0.00984561, 1.25536100, 0.06201937);214
4.3;(0.00953507, 1.26583900, 0.06183685);215
4.32;(0.00931481, 1.27083200, 0.06171932);216
4.34;(0.00888133, 1.28010500, 0.06143618);217
4.36;(0.00838943, 1.28822000, 0.06110789);218
4.38;(0.00784593, 1.29445100, 0.06106220);219
4.4;(0.00756734, 1.29670000, 0.06105731);220
4.42;(0.00708463, 1.29980300, 0.06114979);221
4.44;(0.00676635, 1.30104100, 0.06118865);222
4.46;(0.00622382, 1.29995400, 0.06140885);223
4.48;(0.00570597, 1.29705000, 0.06205934);224
4.5;(0.00547745, 1.29502800, 0.06273915);225
4.52;(0.00519205, 1.29017000, 0.06469546);226
4.54;(0.00485047, 1.28376400, 0.06736031);227
4.56;(0.00464677, 1.27508000, 0.06994861);228
4.58;(0.00453144, 1.26391300, 0.07252394);229
4.6;(0.00450750, 1.25808400, 0.07352431);230
4.62;(0.00469553, 1.24646000, 0.07572033);231
4.64;(0.00491693, 1.23555700, 0.07782552);232
4.66;(0.00511652, 1.22546500, 0.07970658);233
4.68;(0.00490454, 1.21636600, 0.08116736);234
4.7;(0.00478705, 1.21279900, 0.08158062);235
4.72;(0.00459534, 1.20751300, 0.08236272);236
4.74;(0.00445021, 1.20533600, 0.08294707);237
4.76;(0.00405700, 1.20646100, 0.08328559);238
4.78;(0.00378151, 1.20820000, 0.08335828);239
4.8;(0.00312588, 1.21353300, 0.08334864);240
4.82;(0.00236704, 1.22101500, 0.08332399);241
4.84;(0.00160945, 1.23054300, 0.08333718);242
4.86;(0.00072812, 1.24159900, 0.08356192);243
4.88;(-0.00029685, 1.25339900, 0.08395862);244
4.9;(-0.00089874, 1.25922400, 0.08427483);245
4.92;(-0.00210870, 1.27093900, 0.08484982);246
4.94;(-0.00339185, 1.28193100, 0.08548414);247
4.96;(-0.00481250, 1.29219900, 0.08608457);248
4.98;(-0.00628377, 1.30120200, 0.08666349);249
5;(-0.00703726, 1.30482300, 0.08686195);250
5.02;(-0.00865787, 1.31107500, 0.08717117);251
5.04;(-0.01022917, 1.31519300, 0.08749668);252
5.06;(-0.01180078, 1.31722900, 0.08780862);253
