Timestamp; Position; ID
0;(0.00000000, 0.00000000, 0.00000000);0
0.02;(0.00000000, 0.00000000, 0.00000000);1
0.04;(0.00000000, 0.00000000, 0.00000000);2
0.06;(0.00000000, 0.00000000, 0.00000000);3
0.08;(0.00000000, 0.00000000, 0.00000000);4
0.09999999;(0.00000000, 0.00000000, 0.00000000);5
0.12;(0.00000000, 0.00000000, 0.00000000);6
0.14;(-0.09439471, 1.21578300, 0.04403651);7
0.16;(-0.09319992, 1.21645700, 0.04433981);8
0.18;(-0.09200822, 1.21698900, 0.04456212);9
0.2;(-0.09037545, 1.21808600, 0.04510392);10
0.22;(-0.08844807, 1.21904800, 0.04593113);11
0.24;(-0.08619783, 1.21989600, 0.04670891);12
0.26;(-0.08354701, 1.22080300, 0.04758354);13
0.28;(-0.08205080, 1.22141800, 0.04797092);14
0.3;(-0.07899591, 1.22254600, 0.04886804);15
0.32;(-0.07570409, 1.22351900, 0.04970308);16
0.34;(-0.07249738, 1.22448600, 0.05045107);17
0.36;(-0.07091653, 1.22500900, 0.05074490);18
0.38;(-0.06784241, 1.22597700, 0.05136854);19
0.4;(-0.06478079, 1.22682500, 0.05185241);20
0.42;(-0.06170786, 1.22751200, 0.05220708);21
0.44;(-0.05875420, 1.22822600, 0.05254475);22
0.46;(-0.05745079, 1.22863100, 0.05271365);23
0.48;(-0.05461615, 1.22939400, 0.05300816);24
0.5;(-0.05183036, 1.23007200, 0.05307905);25
0.52;(-0.04917572, 1.23072600, 0.05296614);26
0.54;(-0.04669432, 1.23138900, 0.05277814);27
0.56;(-0.04561143, 1.23174100, 0.05266419);28
0.58;(-0.04355522, 1.23266700, 0.05246912);29
0.6;(-0.04175384, 1.23348000, 0.05239487);30
0.62;(-0.04015416, 1.23416200, 0.05212636);31
0.64;(-0.03873549, 1.23474800, 0.05177218);32
0.66;(-0.03819491, 1.23503900, 0.05164568);33
0.68;(-0.03700066, 1.23571800, 0.05152716);34
0.7;(-0.03601437, 1.23625800, 0.05136929);35
0.72;(-0.03518437, 1.23664800, 0.05121650);36
0.74;(-0.03465970, 1.23701000, 0.05112145);37
0.76;(-0.03445359, 1.23717600, 0.05111874);38
0.78;(-0.03413919, 1.23737500, 0.05111980);39
0.8;(-0.03385828, 1.23737700, 0.05111794);40
0.82;(-0.03355782, 1.23757100, 0.05107873);41
0.84;(-0.03352610, 1.23730500, 0.05117633);42
0.86;(-0.03353916, 1.23714200, 0.05140098);43
0.88;(-0.03352523, 1.23709100, 0.05156110);44
0.9;(-0.03350019, 1.23696700, 0.05198303);45
