Timestamp; Position; ID
0;(0.00000000, 0.00000000, 0.00000000);0
0.02;(0.00000000, 0.00000000, 0.00000000);1
0.04;(0.00000000, 0.00000000, 0.00000000);2
0.06;(0.00000000, 0.00000000, 0.00000000);3
0.08;(0.00000000, 0.00000000, 0.00000000);4
0.09999999;(0.00000000, 0.00000000, 0.00000000);5
0.12;(0.00000000, 0.00000000, 0.00000000);6
0.14;(0.06735387, 1.24638900, -0.02081991);7
0.16;(0.06715797, 1.24641500, -0.02089129);8
0.18;(0.06712318, 1.24641800, -0.02091914);9
0.2;(0.06708629, 1.24637100, -0.02102436);10
0.22;(0.06701954, 1.24625500, -0.02109073);11
0.24;(0.06693808, 1.24612000, -0.02112598);12
0.26;(0.06684134, 1.24606100, -0.02116615);13
0.28;(0.06682227, 1.24604500, -0.02113953);14
0.3;(0.06675114, 1.24604800, -0.02110497);15
0.32;(0.06666143, 1.24605200, -0.02107425);16
0.34;(0.06658386, 1.24604500, -0.02105954);17
0.36;(0.06651270, 1.24599100, -0.02104685);18
0.38;(0.06648411, 1.24596300, -0.02105184);19
0.4;(0.06647325, 1.24589400, -0.02103294);20
0.42;(0.06645969, 1.24580000, -0.02101500);21
0.44;(0.06644450, 1.24570200, -0.02091901);22
0.46;(0.06641733, 1.24564500, -0.02075747);23
0.48;(0.06641618, 1.24566900, -0.02066354);24
0.5;(0.06643908, 1.24568600, -0.02054026);25
0.52;(0.06638701, 1.24559200, -0.02042638);26
0.54;(0.06638701, 1.24559200, -0.02042638);27
0.56;(0.06635557, 1.24558200, -0.02051530);28
0.58;(0.06635557, 1.24558200, -0.02051530);29
0.6;(0.06624586, 1.24556400, -0.02057404);30
0.62;(0.06612922, 1.24555100, -0.02061087);31
0.64;(0.06603353, 1.24554000, -0.02061203);32
0.66;(0.06602215, 1.24552400, -0.02066982);33
0.68;(0.06603245, 1.24549300, -0.02070083);34
0.7;(0.06601063, 1.24546700, -0.02069830);35
0.72;(0.06594132, 1.24543200, -0.02065796);36
0.74;(0.06595347, 1.24535700, -0.02067013);37
0.76;(0.06594925, 1.24527400, -0.02065979);38
0.78;(0.06592814, 1.24513600, -0.02062976);39
0.8;(0.06587826, 1.24503100, -0.02052635);40
0.82;(0.06581842, 1.24496900, -0.02037929);41
0.84;(0.06578797, 1.24490100, -0.02024401);42
0.86;(0.06578292, 1.24476800, -0.02014330);43
0.88;(0.06577730, 1.24468200, -0.02004397);44
0.9;(0.06574585, 1.24453600, -0.01982906);45
0.92;(0.06574740, 1.24435900, -0.01954478);46
