Timestamp; Position; ID
0;(0.00000000, 0.00000000, 0.00000000);0
0.02;(0.00000000, 0.00000000, 0.00000000);1
0.04;(0.00000000, 0.00000000, 0.00000000);2
0.06;(0.00000000, 0.00000000, 0.00000000);3
0.08;(0.00000000, 0.00000000, 0.00000000);4
0.09999999;(0.00000000, 0.00000000, 0.00000000);5
0.12;(0.00000000, 0.00000000, 0.00000000);6
0.14;(-0.03108934, 1.20899200, -0.00727885);7
0.16;(-0.03014521, 1.20891200, -0.00731790);8
0.18;(-0.02931024, 1.20857400, -0.00724022);9
0.2;(-0.02848562, 1.20827000, -0.00739312);10
0.22;(-0.02752630, 1.20808300, -0.00750318);11
0.24;(-0.02616864, 1.20758200, -0.00764064);12
0.26;(-0.02473459, 1.20779500, -0.00748908);13
0.28;(-0.02332952, 1.20783600, -0.00767971);14
0.3;(-0.02186253, 1.20861700, -0.00774013);15
0.32;(-0.02119439, 1.20891300, -0.00748931);16
0.34;(-0.01986198, 1.20963400, -0.00719021);17
0.36;(-0.01843722, 1.21039400, -0.00686324);18
0.38;(-0.01717599, 1.21115200, -0.00656724);19
0.4;(-0.01586534, 1.21193600, -0.00629043);20
0.42;(-0.01513439, 1.21229600, -0.00609736);21
0.44;(-0.01382957, 1.21300400, -0.00569078);22
0.46;(-0.01262977, 1.21361800, -0.00513967);23
0.48;(-0.01154489, 1.21410500, -0.00456314);24
0.5;(-0.01054100, 1.21434700, -0.00399444);25
0.52;(-0.00999514, 1.21428000, -0.00372158);26
0.54;(-0.00912485, 1.21409100, -0.00315411);27
0.56;(-0.00841946, 1.21387000, -0.00249134);28
0.58;(-0.00782559, 1.21353700, -0.00170317);29
0.6;(-0.00740782, 1.21305600, -0.00075916);30
0.62;(-0.00726462, 1.21277200, -0.00027996);31
0.64;(-0.00703658, 1.21199000, 0.00077449);32
0.66;(-0.00707525, 1.21103600, 0.00188281);33
0.68;(-0.00714154, 1.20983800, 0.00301073);34
0.7;(-0.00747297, 1.20867500, 0.00424596);35
0.72;(-0.00768790, 1.20809400, 0.00497524);36
0.74;(-0.00813750, 1.20703500, 0.00633843);37
0.76;(-0.00853109, 1.20590200, 0.00779030);38
0.78;(-0.00894176, 1.20482200, 0.00931049);39
0.8;(-0.00925180, 1.20414600, 0.01074449);40
0.82;(-0.00940331, 1.20388800, 0.01158289);41
0.84;(-0.00957655, 1.20349200, 0.01310455);42
0.86;(-0.00957714, 1.20320400, 0.01462311);43
0.88;(-0.00926432, 1.20314400, 0.01587957);44
0.9;(-0.00904215, 1.20321700, 0.01649322);45
