PosX;PosY;PosZ
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0.08046657;1.713132;-0.2093548
0.08023289;1.713536;-0.2097031
0.08032912;1.713646;-0.2095302
0.08037408;1.713629;-0.209394
0.0803988;1.713551;-0.2091104
0.08039235;1.713464;-0.2088627
0.08030956;1.713373;-0.2085779
0.0801466;1.713243;-0.2080256
0.08002649;1.71317;-0.2077146
0.07967173;1.712734;-0.2070937
0.07961104;1.712646;-0.2069165
0.07944433;1.712343;-0.2066355
0.07934967;1.712254;-0.2064582
0.07932392;1.712177;-0.2063949
0.07938381;1.712316;-0.2062962
0.07947006;1.712444;-0.2062778
0.07966205;1.712636;-0.2062343
0.07978734;1.712743;-0.2061802
0.07988776;1.712865;-0.2060885
0.08010093;1.71306;-0.2059128
0.08021195;1.713138;-0.2058993
0.08038897;1.71325;-0.205788
0.08036423;1.713323;-0.2055978
0.08032174;1.713394;-0.2052308
0.08033722;1.713418;-0.2051149
0.08035594;1.713393;-0.2049803
0.08038747;1.713221;-0.2045528
0.08040054;1.713137;-0.2042918
0.08045886;1.713027;-0.2037452
0.08046058;1.712965;-0.2034447
0.08035327;1.712923;-0.2029362
0.08029245;1.712891;-0.2026702
0.08016244;1.71282;-0.2019724
0.08008709;1.712882;-0.2016276
0.07999078;1.712924;-0.2012189
0.07960472;1.713164;-0.2002539
0.07942533;1.713348;-0.1997455
0.07915469;1.713614;-0.1984729
0.07925901;1.713806;-0.1978173
0.07916031;1.713982;-0.1962496
0.07914119;1.714242;-0.1954671
0.07909639;1.714498;-0.1945174
0.07909526;1.715065;-0.1923156
0.07901628;1.715569;-0.1909566
0.07892661;1.716612;-0.187862
0.07884008;1.717082;-0.1860968
0.0784307;1.71879;-0.1822598
0.0782714;1.720041;-0.1804173
0.07805255;1.720839;-0.1785023
0.07724141;1.721467;-0.1741865
0.07691083;1.72141;-0.1719849
0.07588254;1.719047;-0.1671611
0.07529141;1.71646;-0.1646119
0.07406353;1.709148;-0.1593453
0.07322256;1.703504;-0.1564302
0.07149353;1.691269;-0.1506339
0.07062247;1.683543;-0.1476939
0.06969672;1.674758;-0.1447557
