PosX;PosY;PosZ
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0.1673543;1.245095;-0.1192945
0.1684691;1.24633;-0.1196609
0.1687745;1.246571;-0.1197938
0.1694115;1.246905;-0.1200356
0.1697033;1.246942;-0.1201258
0.1700858;1.246759;-0.1203536
0.1702745;1.246581;-0.1205178
0.17065;1.24645;-0.1208986
0.1705588;1.245612;-0.121173
0.1705247;1.245254;-0.1213313
0.1704825;1.244351;-0.1217014
0.1704458;1.243933;-0.1219198
0.1703088;1.24308;-0.1224311
0.1700673;1.242749;-0.1226444
0.1696502;1.242112;-0.1231771
0.1694711;1.241837;-0.1235169
0.1692763;1.241603;-0.1238898
0.1687895;1.241295;-0.124584
0.1685195;1.241145;-0.1249488
0.1682506;1.241218;-0.1256648
0.1681047;1.24127;-0.1259966
0.1677997;1.241581;-0.1266433
0.1676354;1.241788;-0.1269443
0.1675156;1.242007;-0.1273202
0.1673285;1.242445;-0.1280559
0.1671549;1.242725;-0.1282762
0.166876;1.243363;-0.1286379
0.1666836;1.243697;-0.1287816
0.1662627;1.244264;-0.1290322
0.1659985;1.24438;-0.1291456
0.1657429;1.244547;-0.1292414
0.1651404;1.244643;-0.1292359
0.164783;1.244668;-0.1291438
0.1639557;1.244402;-0.128749
0.1635423;1.244153;-0.1284647
0.162715;1.243195;-0.1278284
0.1623068;1.242573;-0.1275279
0.1619168;1.24178;-0.1271715
0.1610831;1.24007;-0.1263955
0.1606759;1.239246;-0.1259571
0.1597429;1.237573;-0.1250084
0.1593381;1.236831;-0.1244884
0.1584273;1.235471;-0.1235007
0.1580356;1.234882;-0.123051
0.1572562;1.234464;-0.1221979
0.1568552;1.234977;-0.1215193
0.1564374;1.235674;-0.1205855
0.1556078;1.237671;-0.118706
0.1552112;1.238878;-0.1179066
0.1544453;1.242283;-0.1170982
0.1541022;1.245477;-0.1169424
0.1536248;1.252725;-0.1162715
0.1533569;1.257255;-0.1155489
0.1530878;1.262558;-0.11478
0.1528355;1.275299;-0.1129117
0.1528111;1.281746;-0.1119829
0.1530004;1.294875;-0.110943
0.153128;1.301183;-0.1105233
0.1537127;1.313173;-0.1103567
