Timestamp; Position; ID
0;(0.00000000, 0.00000000, 0.00000000);0
0.02;(0.00000000, 0.00000000, 0.00000000);1
0.04;(0.00000000, 0.00000000, 0.00000000);2
0.06;(0.00000000, 0.00000000, 0.00000000);3
0.08;(0.00000000, 0.00000000, 0.00000000);4
0.09999999;(0.00000000, 0.00000000, 0.00000000);5
0.12;(0.00000000, 0.00000000, 0.00000000);6
0.14;(-0.03918456, 1.29181500, 0.10303330);7
0.16;(-0.03918456, 1.29181500, 0.10303330);8
0.18;(-0.03918456, 1.29181500, 0.10303330);9
0.2;(-0.04026272, 1.26471800, 0.10381290);10
0.22;(-0.04053739, 1.25772300, 0.10441500);11
0.24;(-0.04065031, 1.25461300, 0.10478430);12
0.26;(-0.04099345, 1.24901000, 0.10531190);13
0.28;(-0.04133064, 1.24471500, 0.10569120);14
0.3;(-0.04172672, 1.24260800, 0.10613610);15
0.32;(-0.04211528, 1.24279700, 0.10654270);16
0.34;(-0.04243747, 1.24363300, 0.10684110);17
0.36;(-0.04304036, 1.24652300, 0.10713600);18
0.38;(-0.04365042, 1.25110700, 0.10722220);19
0.4;(-0.04466825, 1.26008500, 0.10734590);20
0.42;(-0.04494217, 1.26428100, 0.10759090);21
0.44;(-0.04550933, 1.27295600, 0.10805660);22
0.46;(-0.04621722, 1.28202500, 0.10858920);23
0.48;(-0.04673725, 1.29079000, 0.10890400);24
0.5;(-0.04699422, 1.29506600, 0.10909350);25
0.52;(-0.04735312, 1.30322700, 0.10942990);26
0.54;(-0.04771501, 1.31072400, 0.10952070);27
0.56;(-0.04808585, 1.31739500, 0.10926630);28
0.58;(-0.04827145, 1.32012200, 0.10894480);29
0.6;(-0.04863778, 1.32434400, 0.10863920);30
0.62;(-0.04877830, 1.32680700, 0.10866070);31
0.64;(-0.04889380, 1.32773400, 0.10891200);32
0.66;(-0.04897290, 1.32760300, 0.10914470);33
0.68;(-0.04918360, 1.32616600, 0.10935850);34
0.7;(-0.04926674, 1.32182000, 0.10971530);35
0.72;(-0.04940176, 1.31509800, 0.11034330);36
0.74;(-0.04949311, 1.31069600, 0.11084950);37
0.76;(-0.04980461, 1.30075300, 0.11222840);38
0.78;(-0.05020688, 1.28914200, 0.11447970);39
0.8;(-0.05066297, 1.27703300, 0.11697840);40
0.82;(-0.05136862, 1.26410900, 0.12014180);41
0.84;(-0.05188765, 1.25760300, 0.12175410);42
0.86;(-0.05302736, 1.24504200, 0.12534720);43
0.88;(-0.05413394, 1.23498300, 0.12931880);44
0.9;(-0.05518347, 1.22916500, 0.13305830);45
