PosX;PosY;PosZ
0.08990645;1.234577;0.05635329
0.08959536;1.217334;0.05581858
0.08892944;1.186094;0.05479156
0.08863003;1.17306;0.05417945
0.08839985;1.162675;0.05314983
0.08795858;1.147639;0.05058622
0.0873854;1.14681;0.04741031
0.0874962;1.151887;0.04540315
0.08737147;1.160653;0.04343281
0.08679973;1.186196;0.03972708
0.08679617;1.201664;0.03718229
0.08684049;1.235954;0.03114829
0.08690628;1.254693;0.02785114
0.08725534;1.292086;0.02179965
0.08764967;1.310013;0.01868816
0.08822507;1.327006;0.01557085
0.08897521;1.358156;0.01007311
0.08939093;1.371939;0.007833824
0.09086609;1.39489;0.004116925
0.09163706;1.403876;0.002857789
0.09293336;1.417074;0.001361461
0.09364063;1.420742;0.001052964
0.09435996;1.422297;0.0009625198
0.09559921;1.420457;0.001534697
0.09590574;1.416187;0.002307212
0.09645601;1.402407;0.004650421
0.09658185;1.392807;0.006234949
0.09638814;1.368608;0.0100044
0.09615219;1.354053;0.01212313
0.09561678;1.338119;0.01451335
0.09378394;1.303232;0.01987129
0.09247705;1.28447;0.02254724
0.08973082;1.245546;0.02786075
0.08842053;1.226454;0.02999717
0.08609217;1.191764;0.03377263
0.08510589;1.178009;0.03551072
0.08339311;1.15543;0.03920801
0.08253551;1.14937;0.04116914
0.0816555;1.147727;0.04323242
0.0799384;1.151673;0.04750796
0.07873265;1.159027;0.04992566
0.0766611;1.180062;0.05456064
0.07580791;1.193989;0.05619855
0.07362527;1.224856;0.05892235
0.07246425;1.242057;0.05930044
0.07127162;1.259788;0.05988085
0.06911305;1.294731;0.06102412
0.06829047;1.311482;0.06125064
0.06671271;1.341557;0.0608927
0.06602084;1.354709;0.06045008
0.06539977;1.376577;0.05946515
0.06542776;1.385444;0.05896434
0.06571878;1.398562;0.05815474
0.06596984;1.402543;0.0579866
0.06640814;1.404683;0.05817673
0.06764559;1.403539;0.05942856
0.06822354;1.399996;0.06035673
0.0692958;1.389207;0.06277526
0.06968775;1.380884;0.06424999
0.06996537;1.370775;0.0658944
0.07018959;1.345539;0.06960329
0.0702195;1.330179;0.07164215
0.06993578;1.295462;0.07582235
0.06956965;1.276398;0.07801781
0.06927126;1.236801;0.08112054
0.06910576;1.217406;0.08246905
0.06835112;1.18296;0.08506265
0.06788963;1.167888;0.0861588
0.06702901;1.146886;0.08783256
0.0662697;1.141589;0.0885279
0.06558853;1.140645;0.08862334
0.06403685;1.151261;0.08649196
0.06298772;1.16209;0.08566885
0.06191367;1.191691;0.08180793
0.06141979;1.209486;0.07881269
0.06054652;1.247002;0.0734458
0.06069494;1.266209;0.07109734
0.06080374;1.284924;0.06898404
0.06139594;1.321157;0.06444184
0.06185686;1.337575;0.06221941
0.06271844;1.366267;0.05852461
0.06314272;1.378404;0.05712197
0.06404369;1.397505;0.05507101
0.06454827;1.404244;0.05452951
0.0653277;1.412311;0.05437955
0.0655263;1.413138;0.05474674
0.0658545;1.412199;0.05542548
0.06653611;1.404603;0.05769327
0.06692788;1.398472;0.05920156
0.06740938;1.379912;0.06313207
0.06753442;1.368007;0.06553171
0.06779818;1.339423;0.07069795
0.06778117;1.322363;0.07357128
0.06758427;1.304213;0.07608824
0.06729536;1.265076;0.08093475
0.06731097;1.245329;0.08313381
0.06761448;1.20663;0.08711943
0.067605;1.189711;0.08834275
0.06765153;1.175934;0.08910588
0.06775741;1.151688;0.09141059
0.06796096;1.144157;0.09253552
0.06787825;1.144651;0.09282795
0.06756639;1.149648;0.09236159
0.06723803;1.169394;0.09148871
0.06729618;1.183524;0.0907033
0.06759173;1.215911;0.0876426
0.06772335;1.234358;0.08597721
0.06844167;1.272506;0.08277007
0.06904273;1.291591;0.08104927
0.06960879;1.310119;0.07936657
0.07099604;1.343664;0.0759035
0.07178894;1.358802;0.07435802
0.07344648;1.384137;0.07206442
0.07448778;1.394117;0.07095883
0.07648765;1.408503;0.07008578
0.07750554;1.412927;0.07017034
0.07846972;1.415508;0.07089387
0.08032647;1.41577;0.07278652
0.08101496;1.412418;0.0743256
0.08193737;1.39972;0.07799102
0.08212889;1.390541;0.08019578
0.08202445;1.366698;0.08524872
0.08160365;1.352199;0.08824605
0.0810817;1.335992;0.09148438
0.0794657;1.299981;0.09825544
0.07856412;1.28053;0.1012651
