Timestamp; Position; ID
2.28;(-0.05486022, 1.01856100, 0.09607254);114
2.3;(-0.05495260, 1.02840900, 0.09548730);115
2.32;(-0.05485178, 1.04819000, 0.09427790);116
2.34;(-0.05455548, 1.06934400, 0.09283625);117
2.36;(-0.05403846, 1.09150100, 0.09133130);118
2.38;(-0.05328777, 1.11391400, 0.08964424);119
2.4;(-0.05289633, 1.12521900, 0.08877885);120
2.42;(-0.05180626, 1.14870900, 0.08689071);121
2.44;(-0.05076440, 1.17262100, 0.08510394);122
2.46;(-0.04979863, 1.19683700, 0.08322091);123
2.48;(-0.04876849, 1.22169100, 0.08129652);124
2.5;(-0.04814125, 1.23425500, 0.08057911);125
2.52;(-0.04682325, 1.25978100, 0.07895777);126
2.54;(-0.04566810, 1.28624200, 0.07762247);127
2.56;(-0.04479831, 1.31282900, 0.07625664);128
2.58;(-0.04388873, 1.33922100, 0.07492921);129
2.6;(-0.04325085, 1.35249800, 0.07423029);130
2.62;(-0.04207745, 1.37920000, 0.07305329);131
2.64;(-0.04094361, 1.40580300, 0.07184765);132
2.66;(-0.04029973, 1.43216500, 0.07058114);133
2.68;(-0.03948434, 1.45792300, 0.06922787);134
2.7;(-0.03910739, 1.47048100, 0.06870954);135
2.72;(-0.03819384, 1.49490500, 0.06772369);136
2.74;(-0.03743412, 1.51830300, 0.06693863);137
2.76;(-0.03684279, 1.54023800, 0.06621430);138
2.78;(-0.03617671, 1.56072000, 0.06557229);139
2.8;(-0.03584110, 1.57005500, 0.06540330);140
2.82;(-0.03526158, 1.58756800, 0.06524973);141
2.84;(-0.03481818, 1.60378600, 0.06523079);142
2.86;(-0.03433562, 1.61852500, 0.06516539);143
2.88;(-0.03413779, 1.62500800, 0.06511763);144
2.9;(-0.03393441, 1.63691400, 0.06518932);145
2.92;(-0.03394116, 1.64757600, 0.06498251);146
2.94;(-0.03389878, 1.65675700, 0.06497707);147
2.96;(-0.03377059, 1.66043300, 0.06489038);148
2.98;(-0.03333363, 1.67039500, 0.06433380);149
3;(-0.03351482, 1.67256000, 0.06388482);150
3.02;(-0.03364159, 1.67690700, 0.06346133);151
3.04;(-0.03333751, 1.68020800, 0.06247333);152
3.06;(-0.03315470, 1.68162100, 0.06128484);153
3.08;(-0.03316484, 1.68180300, 0.06035376);154
3.1;(-0.03336038, 1.68172800, 0.05832534);155
3.12;(-0.03342084, 1.68165700, 0.05644943);156
3.14;(-0.03335022, 1.68146100, 0.05525871);157
3.16;(-0.03304349, 1.68128000, 0.05480791);158
3.18;(-0.03260044, 1.68100000, 0.05552580);159
3.2;(-0.03233966, 1.68063300, 0.05606615);160
3.22;(-0.03166176, 1.67915800, 0.05760423);161
3.24;(-0.03109493, 1.67635100, 0.05949122);162
3.26;(-0.03063983, 1.67207800, 0.06132955);163
3.28;(-0.03040345, 1.66951100, 0.06214973);164
3.3;(-0.03003537, 1.66342400, 0.06373952);165
3.32;(-0.03002492, 1.65440600, 0.06508952);166
3.34;(-0.03032817, 1.64308200, 0.06543409);167
3.36;(-0.03082012, 1.62932700, 0.06471772);168
3.38;(-0.03105282, 1.62124300, 0.06405882);169
3.4;(-0.03135520, 1.60346400, 0.06228776);170
3.42;(-0.03169458, 1.58352500, 0.06102888);171
3.44;(-0.03201726, 1.56414000, 0.06052110);172
3.46;(-0.03256840, 1.54457400, 0.06124528);173
3.48;(-0.03288341, 1.53394800, 0.06223315);174
3.5;(-0.03338525, 1.51107200, 0.06423147);175
3.52;(-0.03416551, 1.48552500, 0.06663512);176
3.54;(-0.03548138, 1.45856300, 0.06976819);177
3.56;(-0.03671978, 1.43143700, 0.07358549);178
3.58;(-0.03725798, 1.41760500, 0.07577548);179
3.6;(-0.03849240, 1.38921200, 0.08061029);180
3.62;(-0.03957931, 1.36022200, 0.08599118);181
3.64;(-0.04056090, 1.33180000, 0.09166822);182
3.66;(-0.04161205, 1.30416300, 0.09725335);183
3.68;(-0.04212444, 1.29047200, 0.09980045);184
3.7;(-0.04353962, 1.26264500, 0.10478610);185
3.72;(-0.04489128, 1.23613600, 0.10903330);186
3.74;(-0.04629227, 1.21034900, 0.11310910);187
3.76;(-0.04811497, 1.18538200, 0.11711480);188
3.78;(-0.04910731, 1.17289300, 0.11905860);189
3.8;(-0.05134723, 1.14819600, 0.12252930);190
3.82;(-0.05335879, 1.12323700, 0.12577810);191
3.84;(-0.05537578, 1.09843600, 0.12874630);192
3.86;(-0.05635168, 1.08585200, 0.13028600);193
3.88;(-0.05834502, 1.06193900, 0.13284470);194
3.9;(-0.06002967, 1.03862700, 0.13473470);195
3.92;(-0.06123206, 1.01607900, 0.13603050);196
3.94;(-0.06276722, 0.99399040, 0.13721100);197
3.96;(-0.06391453, 0.97243400, 0.13775770);198
3.98;(-0.06440292, 0.96216660, 0.13783490);199
4;(-0.06565113, 0.94434380, 0.13780060);200
4.02;(-0.06704825, 0.92862100, 0.13761180);201
4.04;(-0.06840500, 0.91470430, 0.13696430);202
4.06;(-0.06910285, 0.90974310, 0.13627200);203
4.08;(-0.07008468, 0.90176200, 0.13544150);204
4.1;(-0.07057773, 0.89680190, 0.13481890);205
4.12;(-0.07067361, 0.89657170, 0.13376520);206
4.14;(-0.07067967, 0.89957200, 0.13319820);207
4.16;(-0.07062809, 0.90301470, 0.13312050);208
4.18;(-0.07058717, 0.91260820, 0.13332830);209
4.2;(-0.07017066, 0.92532440, 0.13389550);210
4.22;(-0.06939291, 0.94020650, 0.13464150);211
4.24;(-0.06827604, 0.95856360, 0.13537550);212
4.26;(-0.06785377, 0.96863040, 0.13571480);213
4.28;(-0.06681329, 0.98955910, 0.13594320);214
4.3;(-0.06528853, 1.01216300, 0.13499370);215
4.32;(-0.06312197, 1.03645200, 0.13335320);216
4.34;(-0.06077211, 1.06208600, 0.13101180);217
4.36;(-0.05952318, 1.07517400, 0.12954300);218
4.38;(-0.05701520, 1.10177700, 0.12646880);219
4.4;(-0.05425289, 1.12902800, 0.12308560);220
4.42;(-0.05166477, 1.15742700, 0.11948920);221
4.44;(-0.04924776, 1.18640600, 0.11589640);222
4.46;(-0.04800146, 1.20123200, 0.11401130);223
4.48;(-0.04534907, 1.23088700, 0.11048150);224
4.5;(-0.04274581, 1.26111200, 0.10732260);225
4.52;(-0.04058716, 1.29113000, 0.10409150);226
4.54;(-0.03829158, 1.32122200, 0.10083300);227
4.56;(-0.03702831, 1.33664400, 0.09913885);228
4.58;(-0.03447498, 1.36752200, 0.09607920);229
4.6;(-0.03219396, 1.39774800, 0.09316836);230
4.62;(-0.02979972, 1.42729200, 0.09013732);231
4.64;(-0.02727661, 1.45603600, 0.08699875);232
4.66;(-0.02611912, 1.47014400, 0.08546732);233
4.68;(-0.02408696, 1.49770200, 0.08236809);234
4.7;(-0.02233544, 1.52366600, 0.07908215);235
4.72;(-0.02068340, 1.54802800, 0.07582648);236
