PosX;PosY;PosZ
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
-0.007341582;1.710055;-0.1554447
-0.007341582;1.710055;-0.1554447
-0.0121311;1.710573;-0.1548334
-0.01385055;1.710692;-0.1532775
-0.01354161;1.710727;-0.1530112
-0.01485577;1.710635;-0.1495353
-0.01472376;1.710549;-0.148007
-0.01397284;1.710135;-0.1442263
-0.01309028;1.7093;-0.1420012
-0.01058896;1.708171;-0.1372325
-0.009101301;1.707925;-0.134416
-0.007407121;1.707966;-0.1313931
-0.00341817;1.706292;-0.1248944
-0.001238262;1.706652;-0.121328
0.003264305;1.706207;-0.1132003
0.00566216;1.705048;-0.1091823
0.01064075;1.703282;-0.101181
0.01308971;1.702357;-0.09698893
0.01543164;1.701542;-0.09266694
0.02044226;1.699653;-0.08412891
0.023018;1.69848;-0.07977405
0.02832639;1.696702;-0.07171541
0.03091019;1.695829;-0.06829051
0.03592034;1.695064;-0.06184345
0.03827109;1.695141;-0.05896054
0.04059501;1.695596;-0.05637843
0.04490104;1.697191;-0.0521423
0.04697286;1.698033;-0.0505421
0.05094588;1.701219;-0.04862306
0.05270831;1.702703;-0.04802427
0.05579485;1.706014;-0.04777407
0.05715277;1.707607;-0.04835048
0.0583215;1.709289;-0.04945567
0.06028248;1.712606;-0.05278002
0.06096473;1.714095;-0.05483416
0.06213954;1.716556;-0.05980819
0.06249835;1.717902;-0.06264862
0.06274712;1.719677;-0.06855582
0.06212819;1.719441;-0.07130151
0.06100236;1.718927;-0.07388824
0.05840949;1.716361;-0.0774876
0.05688802;1.714786;-0.07859108
0.05188063;1.710808;-0.0790465
0.04880372;1.708417;-0.07873359
0.04212948;1.703334;-0.07607333
0.03832839;1.700544;-0.07380205
0.02951343;1.694296;-0.06775729
0.02464489;1.690701;-0.063857
0.01967905;1.686212;-0.05969315
0.009092143;1.674458;-0.05087668
0.003499074;1.667108;-0.04624161
-0.008386165;1.647439;-0.03685849
-0.01456179;1.635079;-0.03227655
-0.026862;1.606584;-0.02324904
-0.03287074;1.592705;-0.01846461
-0.04433195;1.558849;-0.01090557
-0.04964706;1.541976;-0.007212054
