PosX;PosY;PosZ
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0.06514815;1.720338;-0.2327561
0.06399991;1.720098;-0.2305225
0.06192528;1.719877;-0.2271595
0.06115717;1.71956;-0.2260809
0.06046412;1.719127;-0.2252779
0.05991079;1.718714;-0.225
0.05851974;1.71796;-0.2239891
0.05734906;1.717446;-0.2234751
0.05683128;1.717333;-0.2232305
0.05572804;1.716698;-0.2227946
0.05545929;1.716409;-0.2225951
0.05531646;1.716089;-0.2224176
0.05514783;1.715608;-0.22206
0.05519333;1.71506;-0.2218603
0.05556756;1.714264;-0.2215656
0.05573868;1.713931;-0.2215583
0.05647726;1.713572;-0.2217191
0.05680253;1.713621;-0.2217658
0.05714662;1.713704;-0.2217577
0.05789046;1.714173;-0.2217467
0.0581678;1.714379;-0.2217198
0.05879065;1.714738;-0.2216502
0.05908727;1.714781;-0.2216905
0.05933033;1.714785;-0.2217823
0.0598959;1.714719;-0.2218958
0.05996754;1.714596;-0.2219677
0.06036332;1.714709;-0.22214
0.06045252;1.714746;-0.2222062
0.0605602;1.714774;-0.2223686
0.06051323;1.714728;-0.2224989
0.0605121;1.714587;-0.2228069
0.06057595;1.714565;-0.2229561
0.06065204;1.714591;-0.2230928
0.060928;1.714625;-0.2233121
0.06112666;1.71464;-0.2234201
0.06165802;1.714701;-0.2236984
0.06202314;1.714764;-0.2237564
0.06301315;1.715148;-0.2233838
0.06337679;1.71519;-0.2230692
0.06375638;1.715375;-0.2226336
0.06451621;1.716598;-0.2210412
0.06488466;1.717329;-0.2198592
0.06562041;1.718743;-0.2163219
0.06593331;1.719386;-0.2137972
0.06614081;1.720292;-0.2070141
0.06627504;1.720868;-0.2027839
0.0662101;1.718125;-0.1935916
0.06617565;1.714393;-0.1889569
0.06613308;1.706799;-0.1841193
0.06624136;1.682208;-0.1743885
0.06650734;1.666253;-0.169971
0.06688605;1.63053;-0.1615165
0.06683384;1.609169;-0.1571464
0.06699823;1.561614;-0.1492025
0.06673898;1.533545;-0.1445768
0.0662442;1.505115;-0.1395829
0.06498963;1.44551;-0.1293563
0.06408232;1.413694;-0.1237881
0.06187258;1.349683;-0.1123602
